JOINT,MEMBER,GRUP,TOP,TOP-LEFT,LEFT,BOT-LEFT,BOT,BOT-RIGHT,RIGHT,TOP-RIGHT,MAX_DAMAGE,CRITICAL_LOCATION,UNIQUE_KEY
0593,0593 J203,24B,0.000123111,8.00019e-05,1.90468e-05,1.71064e-06,2.33181e-07,1.43014e-06,1.27949e-05,6.55173e-05,0.000123111,TOP,0593_0593 J203_24B
801L,0508-801L,D8D,6.19831e-05,7.74199e-05,6.77376e-05,2.37423e-05,1.05654e-05,3.10936e-05,8.32308e-05,8.40886e-05,8.40886e-05,TOP-RIGHT,801L_0508-801L_D8D
0106,0106 208L,24J,1.85253e-05,8.16317e-05,4.31664e-05,4.42167e-06,2.13864e-06,1.81356e-05,2.16469e-05,3.23047e-06,8.16317e-05,TOP-LEFT,0106_0106 208L_24J
102P,102P-202P,PI2,1.81619e-08,4.30112e-07,2.15544e-06,5.50542e-07,3.80905e-08,1.64024e-05,7.61592e-05,1.4627e-05,7.61592e-05,RIGHT,102P_102P-202P_PI2
0105,0105 103L,20A,2.01584e-05,6.1748e-05,7.03786e-05,1.94981e-05,2.08419e-06,8.1296e-07,1.89949e-06,5.94465e-06,7.03786e-05,LEFT,0105_0105 103L_20A
0108,308L 307L,24B,1.46341e-05,6.77209e-05,5.20054e-05,9.73498e-06,4.65098e-06,2.61222e-05,2.77284e-05,6.52434e-06,6.77209e-05,TOP-LEFT,0108_308L 307L_24B
0007,0007 901L,DL9,3.44854e-06,2.59177e-05,4.49415e-05,4.1951e-06,9.53851e-10,4.45416e-06,5.89227e-05,3.55071e-05,5.89227e-05,RIGHT,0007_0007 901L_DL9
0107,0107 204L,24J,1.01335e-05,7.42234e-06,4.46622e-05,3.72743e-05,2.98019e-06,3.10854e-06,4.65979e-05,5.86117e-05,5.86117e-05,TOP-RIGHT,0107_0107 204L_24J
0109,304L 303L,24B,1.0002e-05,8.89836e-06,3.51621e-05,2.56928e-05,4.39991e-06,1.07702e-05,5.59152e-05,5.25743e-05,5.59152e-05,RIGHT,0109_304L 303L_24B
0010,0010 905L,DL9,4.59625e-06,3.61462e-05,5.52486e-05,3.87811e-06,1.28616e-09,3.0603e-06,4.0402e-05,2.71702e-05,5.52486e-05,LEFT,0010_0010 905L_DL9
94ED,0009-94ED,24S,6.14096e-06,3.03555e-06,1.52558e-06,2.87717e-07,3.32484e-07,9.60272e-06,5.06963e-05,3.33885e-05,5.06963e-05,RIGHT,94ED_0009-94ED_24S
0104,0104 107L,20A,2.18151e-05,9.03889e-06,3.2612e-06,9.74144e-07,1.41138e-06,1.20449e-05,4.70366e-05,4.91058e-05,4.91058e-05,TOP-RIGHT,0104_0104 107L_20A
0585,0585,202L,2.88783e-05,6.5288e-06,2.72454e-06,1.75163e-06,4.24903e-08,3.27003e-07,1.61091e-05,4.70414e-05,4.70414e-05,TOP-RIGHT,0585_0585_202L
0588,0588 203L,51M,2.30868e-07,1.05484e-07,3.66022e-07,3.6175e-06,8.67775e-06,4.54201e-05,2.44668e-05,2.34264e-07,4.54201e-05,BOT-RIGHT,0588_0588 203L_51M
0009,908L 94ED,24S,1.60217e-05,2.56571e-05,2.1429e-05,4.43366e-06,1.50777e-06,3.74191e-06,2.82768e-05,3.91836e-05,3.91836e-05,TOP-RIGHT,0009_908L 94ED_24S
0580,0580 202L,51M,3.93799e-07,1.2765e-08,4.19479e-06,2.36747e-05,1.94728e-05,3.90968e-05,9.93723e-06,2.04602e-08,3.90968e-05,BOT-RIGHT,0580_0580 202L_51M
0115,0116 J571,10A,2.81446e-05,3.70788e-05,2.24264e-05,4.49403e-06,3.05113e-06,1.10052e-05,2.47504e-05,2.80706e-05,3.70788e-05,TOP-LEFT,0115_0116 J571_10A
0129,0129 J206,12A,4.97604e-09,5.02595e-06,3.58099e-05,9.12583e-06,1.3872e-08,2.15643e-06,1.40385e-05,3.87671e-06,3.58099e-05,LEFT,0129_0129 J206_12A
0010,905L 94BD,24S,9.09433e-06,3.57204e-05,2.71746e-05,1.01177e-06,3.4316e-08,6.59381e-07,9.52588e-06,1.35756e-05,3.57204e-05,TOP-LEFT,0010_905L 94BD_24S
0100,508L J582,10A,2.72911e-05,3.34067e-05,2.89054e-05,1.4288e-05,1.19226e-05,1.61361e-05,2.42253e-05,2.8085e-05,3.34067e-05,TOP-LEFT,0100_508L J582_10A
0101,0100 J584,10A,3.29893e-05,3.05001e-05,5.65429e-06,1.97983e-06,6.37069e-06,5.38307e-06,1.62573e-06,5.93856e-06,3.29893e-05,TOP,0101_0100 J584_10A
0578,J329 302L,24B,3.06907e-05,1.23901e-05,1.63644e-06,1.47438e-07,5.6475e-08,3.70123e-07,4.32517e-06,2.11763e-05,3.06907e-05,TOP,0578_J329 302L_24B
004P,004P-104P,PE1,1.08406e-06,1.53816e-06,4.59299e-06,5.66104e-06,6.95753e-06,2.14791e-05,2.96694e-05,8.28897e-06,2.96694e-05,RIGHT,004P_004P-104P_PE1
0116,0110 J573,10A,9.29422e-06,6.44691e-07,4.12831e-06,1.05593e-05,2.29392e-06,4.72103e-07,1.01019e-05,2.8916e-05,2.8916e-05,TOP-RIGHT,0116_0110 J573_10A
0007,901L 91BD,24S,7.1708e-06,2.80047e-05,2.13032e-05,7.30929e-07,4.16688e-08,8.06246e-07,6.49669e-06,9.59541e-06,2.80047e-05,TOP-LEFT,0007_901L 91BD_24S
0007,901L 92AD,24B,5.3368e-06,1.77852e-05,2.0927e-05,2.33883e-06,2.86122e-08,1.82658e-06,2.77679e-05,2.49298e-05,2.77679e-05,RIGHT,0007_901L 92AD_24B
